code,description
lsu,Lisu
lit,Lithuanian
lom,Lomwe (Nguru)
lov,Lovale
dsb,Lower Sorbian
loz,Lozi (Barotse)
lua,Luba-Kasai
lub,Luba-Katanga
lgb,Lugbara
luh,Luhya
lui,Luiseno
lul,Lulua
mno,Lumad
lun,Lunda
luo,Luo
lus,Lusei
ltz,Luxembourgers
mas,Maasai
mac,Macedonian
mdh,Madhesi
mdi,Madi
mad,Madurese (Madura)
maf,Mafwe
mag,Magahi
mai,Maithili
mak,Makassarese
mok,Makonde (Makonde-Yao)
mlg,Malagasy
mal,Malayalam
may,Malays
div,Maldivian
mlt,Maltese
mng,Mananja-Nayanja
mnc,Manchu
mdr,Mandar
mnd,Mande
man,Mandinka (Mandigo/Mandingue)
mni,Manipuri
mnj,Manjack (Manjaco)
mnn,Mano
glv,Manx
mny,Manyika
mon,Maonan
mao,Maori
arn,Mapuche
mar,Marathi
chm,Mari
mah,Marshallese
mwr,Marwaris
myn,Maya
mya,Mayangnas
mbk,M’Baka
mba,Mbandja
mbe,Mbere (Mbede)
mbo,Mbochi
mbu,Mbundu-Mestico
men,Mende
mtz,Mestizo
mia,Miao
mij,Mijikenda
mic,Mi’kmaq
mnh,Minahasa
min,Minangkabau
mwl,Mirandese
msk,Miskito
miz,Mizo
moh,Mohajirs
moh,Mohawk
mdf,Mokshas
mld,Mole-Dagbani
mns,Mon
lol,Mongo
mon,Mongol (Mongolians)
tuu,Mongour (Tu)
mtn,Montenegrins
myv,Mordvins (Mordva)
mro,Moro
mos,Mossi
mlo,Mulao
mla,Mulatto
mun,Munda
muo,Muong
mus,Muscogee
mye,Myene
nag,Naga
nah,Nahua
nax,Nakhi (Naxi)
nam,Nama
nai,Native American
nau,Nauruan
nav,Navajo
ndo,Ndonga
nap,Neapolitan
nep,Nepali
nze,New Zealanders
new,Newars
dzo,Ngalop
ngn,Ngbandi
ngo,Ngoni
nir,Niari
nia,Niasans
nib,Nibolek
nca,Nicaraguan
niu,Niuean
nkm,Nkomi
nog,Nogais
kmb,North Mbundu
nde,Northern Ndebele
nso,Northern Sotho
nor,Norwegians
nuu,Nu
nba,Nuba
nub,Nubian
ner,Nuer
nng,Nung
nur,Nuristani
nyk,Nyakyusa
nym,Nyamwezi
nyo,Nyoro
nzi,Nzema
oci,Occitanians
ogo,Ogoni
oji,Ojibwe
oki,Okinawan
oru,Orgunu
ori,Oriya
orm,Oromo
osa,Osage
oss,Ossetians (Ossetes)
oto,Otomi
ova,Ovambo
pac,Pacific Islanders
ran,Pahari Rajput (Rana/Thakuri)
pau,Palauan
pal,Palestinian
pnm,Panamanians
pag,Pangasinan
ppl,Papel
pap,Papiamento-Creole
paa,Papuan (Papua)
par,Paraguayan
psh,Pashayi (Pashai)
pus,Pashtun
pon,Pehnpeian
per,Persian
pru,Peruvian
pol,Poles
pom,Pomaks
por,Portuguese
cpp,Portuguese-Creole
pum,Pumi
pan,Punjabi
phu,Puthai (Phuthai)
qia,Qiang
qiz,Qizilbash
que,Quechua
raj,Rajasthani
bda,Rakhine (Buddist Arakanese)
rap,Rapa Nui
rom,Romani (Roma)
rum,Romanian
roh,Romansh
run,Rundi
rus,Russian
slr,Salar
sal,Salish
smi,Sami
smo,Samoans
sad,Sandawe
sag,Sango
fri,Santals
sar,Sara
srd,Sardinian
sas,Sasak
sco,Scottish (Scots)
sel,Selkup
sen,Sena
srp,Serbs
srr,Serer
shy,Shaigiya
shn,Shan
she,She
shl,Shilluk
sna,Shona (Ndau)
scn,Sicilian
sid,Sidama
bla,Siksikawa
snd,Sindhi
sin,Sinhalese
sio,Siouan
dak,Sioux
sla,Slavic
slo,Slovaks
slv,Slovenes
som,Somali
son,Songhai
snk,Soninke
wen,Sorbs
sot,Sotho
nbl,South Ndebele
umb,Southern Mbundu
spa,Spanish
srn,Sranan Tongo
bsu,Subiya (Basubia)
sat,Sudanese
sui,Sui
suk,Sukama
sus,Susu
swa,Swahili
ssw,Swazi
swe,Swedes
swf,Swiss French
gsw,Swiss Germans
swt,Swiss Italian
tab,Tabasaran
tgl,Tagalog
tah,Tahitian
tai,Tai (Tha/Tai-Lu/Tai-Yuan)
twn,Taiwanese
tgk,Tajik (Pamir Tajiks)
tms,Tama
tam,Tamil
tat,Tatars
taw,Tawahka
tay,Tay
tel,Telugu
tem,Temne
ter,Terenan
trn,Ternate
tes,Teso
tet,Tetum
tha,Thai
tib,Tibetan
tir,Tigray-Trigrinya (Tigry)
tig,Tigre
tiv,Tiv
tli,Tlingit
tpi,Tok Pisin
tkl,Tokelauan
tog,Tonga (Africa)
ton,Tonga (Pacific)
tor,Tooro
tou,Toubou
tra,Transnistrians
tri,Tripuri
tsi,Tsimshian
tso,Tsonga (Tsonga-Chopi)
tsn,Tswana
tmh,Tuareg
tuj,Tujia
tum,Tumbuka
tup,Tupi (Tupi-Guarani)
tur,Turkish (Turks)
tuk,Turkmen
tts,Tutsi (Tutsi-Banyamulenge)
tvl,Tuvaluans
tyv,Tuvans (Tuvinians)
udm,Udmurt
ukr,Ukranian
hsb,Upper Sorbian
bis,Urban ni-Vanautu
urd,Urdu
uig,Uyghur (Uighur)
uzb,Uzbeks
vaa,Va (Wa)
vai,Vai
ven,Venda
vnz,Venezuelan
vie,Vietnamese (Kinh)
vil,Vili
vot,Votes
wak,Wakashan
wln,Walloons
war,Waray
was,Washoe
wal,Welayta
wel,Welsh
whi,Whites
wol,Wolof
xho,Xhosa
xib,Xibe
xnc,Xinca
sah,Yakuts
yao,Yao (Africa)
dao,Yao (Asia) (Dao)
yap,Yapese
iii,Yi
yor,Yoruba
yug,Yugur
ypk,Yupik
zag,Zaghawa
zay,Zaidiyya (Zaydis)
zap,Zapotec
zza,Zaza
zen,Zenaga
zha,Zhuang
zom,Zomi (Chins)
zul,Zulu
zun,Zuni
